3
20000	15000	10000

3
5000	10000	5000
1.0	.7	.3

45
1	0	0	-	0
2	3	5	A	165
3	2.5	9	B	75
4	48	16	C	50
5	48	17	A	200
6	69	16	B	75
7	70	16	C	25
8	64	13	A	385
9	3	-22	B	2175
10	2.5	1	C	825
11	-13	11.5	A	600
12	-20	45	B	325
13	-9	52	C	115
14	-8.5	53	A	90
15	-8	52	B	2750
16	2	2	C	390
17	-2	9	A	3135
18	-10	20	B	45
19	-20	19	C	480
20	-15	-21	A	580
21	-5	-9	B	580
22	-4.5	-9	C	415
23	-52	-36	A	205
24	-53	-36	B	3225
25	0	0.01	C	3470
26	-30	-18	A	2865
27	-51	-35	B	5
28	81	9	C	905
29	84	-99	A	530
30	82	-6	B	260
31	40	-12	C	585
32	50	-7	A	260
33	51	-8	B	6500
34	63	-17	C	285
35	45	-1	A	140
36	54	8.5	B	420
37	29	4	C	5
38	21	3	A	270
39	22	2	B	95
40	39	-3	C	440
41	39.5	-3	A	205
42	40	-11	B	1190
43	28	-2	C	330
44	24	-18	A	220
45	24	-19	B	210
