3
20000	20000	20000

3
10000	15000	15000
1.0	.7	.3

69
1	59	44	-	0
2	9	23	A	100
3	84	68	B	50
4	36	93	C	300
5	87	9	A	450
6	34	16	B	800
7	40	98	C	250
8	72	43	A	150
9	0	60	B	450
10	64	90	C	600
11	11	8	A	50
12	46	7	B	50
13	33	54	C	900
14	23	84	A	500
15	67	18	B	250
16	34	93	C	250
17	19	25	A	450
18	14	9	B	800
19	70	64	C	600
20	58	50	A	300
21	5	78	B	300
22	95	39	C	1000
23	38	54	A	1150
24	50	73	B	1950
25	48	46	C	850
26	64	4	A	400
27	39	28	B	100
28	79	30	C	650
29	61	36	A	850
30	28	50	B	150
31	51	91	C	100
32	68	59	A	350
33	14	9	B	1150
34	94	87	C	500
35	68	29	A	350
36	12	91	B	600
37	2	22	C	1000
38	25	16	A	650
39	11	57	B	1050
40	3	51	C	1250
41	13	52	A	250
42	9	76	B	200
43	58	18	C	650
44	40	39	A	600
45	32	89	B	1150
46	9	92	C	950
47	36	14	A	500
48	82	13	B	350
49	10	25	C	750
50	96	97	A	250
51	20	21	B	750
52	40	91	C	650
53	33	31	A	1500
54	72	74	B	750
55	41	24	C	350
56	90	20	A	450
57	4	44	B	1150
58	54	22	C	400
59	43	59	A	250
60	3	70	B	400
61	94	16	C	1250
62	94	54	A	600
63	14	40	B	1250
64	37	0	C	1200
65	88	55	A	400
66	80	25	B	1100
67	37	64	C	350
68	87	47	A	1200
69	18	68	B	900
