3
15000	20000	25000

3
5000	10000	15000
1.0	.7	.3

76
1	0	0	-	0
2	-7	9	A	470
3	-7	8	B	60
4	-15	16	C	85
5	-2	13	A	3095
6	0	3	B	305
7	-9	6	C	15
8	2	5	A	20
9	-13	9	B	65
10	-15	10	C	220
11	-14	2	A	60
12	1	0	B	175
13	-40	24	C	570
14	-54	-15	A	145
15	-43	10	B	380
16	-73	-2	C	530
17	-76	4	A	785
18	-45	31	B	215
19	-29	36	C	20
20	-78	11	A	190
21	-31	25	B	1060
22	-67	17	C	210
23	-31	4	A	50
24	-51	10	B	95
25	-30	-9	C	4280
26	-51	24	A	65
27	-80	-10	B	335
28	-34	4	C	720
29	-45	25	A	1550
30	73	32	B	425
31	78	59	C	5305
32	58	53	A	1720
33	57	55	B	110
34	20	85	C	75
35	-12	81	A	1095
36	-8	86	B	220
37	12	33	C	1850
38	19	86	A	370
39	-11	44	B	410
40	-2	67	C	15
41	25	76	A	195
42	-29	44	B	270
43	4	80	C	110
44	-2	84	A	855
45	-8	54	B	325
46	-16	34	C	2025
47	-14	80	A	95
48	-17	32	B	35
49	19	39	C	2930
50	-20	82	A	75
51	17	42	B	745
52	-4	5	C	705
53	-20	25	A	45
54	-12	14	B	1305
55	-11	11	C	20
56	-12	4	A	25
57	-1	21	B	105
58	-1	1	C	125
59	-9	21	A	430
60	9	3	B	430
61	5	14	C	620
62	-9	27	A	615
63	-20	11	B	55
64	0	30	C	205
65	-12	15	A	1395
66	-3	17	B	745
67	-58	-60	C	45
68	-71	-58	A	325
69	-32	-34	B	775
70	-59	-37	C	30
71	-48	-19	A	415
72	-71	-49	B	55
73	22	-4	C	3675
74	13	-10	A	20
75	22	-17	B	280
76	13	12	C	130
