88
15000	15000	15000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000

3
1250000	300000	100000
0.015	0.0105	0.0045

501
1	-	0
2	B	1070
3	A	714
4	A	433
5	A	5904
6	A	3390
7	C	3741
8	A	5294
9	A	18627
10	A	14846
11	A	8857
12	B	3804
13	A	14737
14	A	5289
15	A	9530
16	A	3065
17	A	3233
18	C	868
19	B	1567
20	A	19932
21	A	11270
22	A	5959
23	C	8941
24	C	10334
25	A	7777
26	B	3565
27	A	25018
28	A	8419
29	A	10002
30	C	1403
31	C	5974
32	A	3857
33	A	5795
34	A	5445
35	A	941
36	A	7000
37	A	1798
38	A	5170
39	A	1062
40	A	283
41	C	2167
42	C	3609
43	C	4525
44	A	16444
45	A	10177
46	C	1401
47	B	802
48	C	1769
49	B	1615
50	B	6946
51	A	8231
52	A	4751
53	B	252
54	C	1941
55	B	332
56	A	792
57	A	377
58	A	7541
59	A	5305
60	A	9391
61	A	9978
62	A	8751
63	A	7026
64	A	6779
65	A	6012
66	B	5571
67	A	3113
68	A	3520
69	A	6589
70	A	5568
71	A	10911
72	A	5396
73	A	4141
74	A	6132
75	A	6068
76	A	3918
77	A	2845
78	A	18143
79	B	8621
80	A	4733
81	A	13296
82	A	9238
83	B	1713
84	A	10012
85	A	5480
86	A	2449
87	A	9773
88	A	560
89	B	840
90	A	4263
91	A	5100
92	B	2961
93	A	1676
94	A	5893
95	A	303
96	B	1330
97	C	998
98	A	13849
99	B	87
100	A	1155
101	A	735
102	B	1285
103	A	11455
104	B	4042
105	A	3821
106	A	1428
107	B	205
108	B	332
109	A	743
110	C	1040
111	A	7229
112	A	5495
113	A	2615
114	A	5363
115	A	5477
116	B	2212
117	A	10000
118	A	1065
119	A	5786
120	A	300
121	A	2433
122	A	262
123	B	746
124	B	677
125	A	4188
126	A	2185
127	B	15825
128	B	2060
129	B	1051
130	B	4105
131	B	469
132	B	364
133	B	324
134	A	560
135	A	3264
136	B	747
137	B	1127
138	B	260
139	B	1181
140	B	362
141	B	1267
142	B	426
143	B	574
144	B	2426
145	A	824
146	B	444
147	A	132
148	B	790
149	B	481
150	A	789
151	A	151
152	B	1091
153	A	253
154	B	249
155	A	1371
156	A	1083
157	B	1006
158	A	1728
159	B	225
160	A	3334
161	A	1784
162	A	1972
163	A	4861
164	A	1523
165	A	4603
166	A	3228
167	B	1480
168	A	3804
169	A	2094
170	B	1427
171	A	2912
172	A	2342
173	A	6345
174	A	13061
175	A	6867
176	A	258
177	A	2201
178	B	2795
179	B	2508
180	A	7612
181	A	7350
182	A	1956
183	A	1660
184	A	1931
185	A	388
186	C	3490
187	A	3722
188	A	383
189	B	533
190	B	1476
191	A	4811
192	A	3731
193	A	3733
194	B	2070
195	A	4772
196	A	6971
197	A	5945
198	B	536
199	A	2191
200	B	1961
201	A	4491
202	A	5631
203	A	9014
204	A	12795
205	B	5242
206	A	8203
207	A	5435
208	A	6296
209	A	8592
210	A	8775
211	A	3731
212	A	5813
213	B	1523
214	A	3429
215	A	2090
216	A	2990
217	A	7468
218	B	267
219	A	2060
220	A	6851
221	A	4809
222	B	639
223	B	6857
224	B	4466
225	A	2936
226	B	1860
227	A	1409
228	A	956
229	A	144
230	B	2354
231	B	299
232	B	1478
233	A	8313
234	A	19500
235	A	4182
236	A	8192
237	A	1689
238	C	1332
239	B	345
240	B	596
241	A	3741
242	B	1041
243	A	1206
244	A	11292
245	A	6126
246	A	5212
247	A	9318
248	B	3445
249	A	4090
250	A	4816
251	B	4041
252	A	3848
253	B	1106
254	B	1155
255	A	3258
256	A	9674
257	A	1161
258	A	1407
259	A	632
260	A	3116
261	B	622
262	A	155
263	A	3423
264	A	1100
265	A	5038
266	A	5019
267	A	3463
268	B	881
269	B	1020
270	B	325
271	B	3371
272	B	3370
273	B	481
274	A	3362
275	A	3502
276	B	9360
277	B	103
278	B	304
279	B	8113
280	A	4884
281	A	7395
282	A	12837
283	A	5216
284	A	3689
285	A	13433
286	B	2634
287	A	889
288	A	3595
289	A	11423
290	A	311
291	B	1780
292	A	1652
293	A	1652
294	B	684
295	A	340
296	A	2386
297	A	2145
298	A	494
299	A	4834
300	A	1685
301	B	312
302	B	2172
303	A	1002
304	B	194
305	A	2018
306	A	82
307	B	2468
308	A	3242
309	A	4643
310	B	2167
311	B	2219
312	A	1574
313	B	1484
314	A	589
315	A	1195
316	A	3854
317	A	1537
318	A	165
319	B	1046
320	A	539
321	C	2403
322	A	903
323	B	398
324	B	397
325	A	780
326	B	2141
327	A	6883
328	A	1911
329	A	1235
330	B	166
331	A	790
332	B	908
333	A	569
334	A	4353
335	B	356
336	B	430
337	B	387
338	A	1548
339	B	1084
340	A	8578
341	A	3967
342	B	789
343	B	881
344	A	1738
345	A	3311
346	A	2169
347	A	3797
348	B	522
349	B	205
350	B	57
351	A	4299
352	A	2767
353	B	1015
354	C	421
355	B	1514
356	A	1995
357	A	5634
358	B	1173
359	B	686
360	A	883
361	A	542
362	A	418
363	A	2909
364	A	13002
365	A	1115
366	A	7031
367	C	791
368	A	209
369	C	879
370	C	600
371	C	559
372	B	432
373	A	3824
374	A	2182
375	B	1444
376	C	4472
377	A	745
378	A	7773
379	A	686
380	A	5050
381	A	2965
382	A	0
383	A	7240
384	A	5769
385	A	9587
386	A	7807
387	A	9200
388	A	5604
389	C	1463
390	B	607
391	A	584
392	A	706
393	A	17116
394	A	19243
395	A	1876
396	A	12064
397	B	1761
398	A	1532
399	A	10974
400	A	4542
401	B	3704
402	C	2744
403	B	460
404	A	9998
405	B	1490
406	A	748
407	A	780
408	C	2042
409	B	113
410	B	596
411	A	612
412	A	903
413	A	14380
414	A	1492
415	C	4170
416	A	879
417	A	856
418	B	7798
419	B	7716
420	A	288
421	B	288
422	B	5719
423	A	9661
424	B	373
425	A	3229
426	A	5565
427	B	379
428	A	342
429	B	777
430	B	537
431	C	398
432	A	2065
433	B	5237
434	A	631
435	A	2972
436	B	2043
437	B	6837
438	A	1742
439	B	3486
440	A	3419
441	A	6001
442	A	5696
443	B	216
444	A	5376
445	A	554
446	A	1788
447	B	896
448	A	1000
449	A	774
450	A	17412
451	A	4077
452	A	1968
453	B	458
454	B	876
455	A	2360
456	B	477
457	B	110
458	A	281
459	B	565
460	B	575
461	B	848
462	B	436
463	B	393
464	A	1348
465	B	4191
466	B	220
467	B	103
468	A	3262
469	B	1275
470	A	266
471	A	288
472	B	789
473	B	436
474	A	380
475	A	1976
476	B	1235
477	B	1391
478	A	5375
479	B	557
480	A	186
481	B	161
482	B	361
483	B	153
484	A	298
485	B	1975
486	A	172
487	A	548
488	A	3007
489	A	7962
490	A	4798
491	B	294
492	A	9442
493	A	15351
494	A	7415
495	B	628
496	A	2244
497	A	3464
498	A	1775
499	A	206
500	A	206
501	A	5033

0.00	33.82	24.44	26.11	30.46	49.85	54.30	73.22	73.22	74.92	81.62	69.40	45.98	55.75	20.82	31.91	19.25	23.24	42.01	42.01	31.96	54.67	38.27	38.27	142.29	94.34	93.62	100.22	100.22	35.78	54.59	28.01	78.90	62.32	32.20	47.22	49.90	19.68	59.92	55.53	56.44	33.86	33.86	30.92	48.99	62.37	63.16	20.03	40.38	31.76	59.63	52.61	48.73	45.86	45.79	46.01	46.40	63.53	66.06	64.58	20.46	63.53	63.53	33.55	8.21	46.44	28.29	28.29	8.21	73.81	42.83	71.65	41.86	85.10	85.10	56.57	14.25	71.58	92.73	9.35	45.77	70.12	58.48	40.18	22.84	15.62	30.90	55.29	69.11	67.37	64.91	60.01	24.36	37.18	49.63	23.03	54.06	60.02	59.84	27.57	70.04	44.88	57.64	57.64	38.77	43.65	57.78	51.22	71.00	56.82	64.28	38.99	76.21	56.49	56.49	59.61	76.21	50.81	40.92	62.56	33.44	63.07	47.43	51.24	18.64	55.92	42.97	42.97	21.25	40.72	35.57	15.92	65.73	56.34	21.04	38.54	42.35	18.83	33.06	46.92	34.78	35.60	53.46	59.53	15.83	59.53	70.39	60.26	59.53	62.45	62.56	60.43	62.72	62.23	62.37	54.35	57.81	62.37	60.78	50.78	9.35	60.62	42.50	47.16	37.68	17.91	73.40	73.40	64.01	39.00	48.52	48.52	18.82	22.00	24.27	50.47	50.46	58.59	64.79	25.27	25.27	41.83	53.65	52.56	56.83	25.33	15.83	37.47	18.25	55.77	48.06	18.72	18.72	56.60	59.15	53.49	52.94	55.81	24.42	61.59	68.57	68.57	66.11	64.31	64.31	63.26	63.26	60.91	37.21	50.94	18.72	58.62	47.02	43.96	33.01	29.65	35.55	41.19	24.78	13.02	10.38	70.87	56.85	57.23	22.15	58.44	34.49	41.26	34.49	61.86	53.45	83.31	39.07	20.77	53.35	57.17	38.46	38.40	54.58	54.08	40.28	46.18	49.72	61.66	64.31	59.28	62.43	51.78	53.64	24.78	63.33	51.22	15.19	58.45	37.62	44.40	34.07	47.27	77.57	35.76	54.76	33.44	56.81	41.61	41.64	18.32	18.32	53.93	36.28	55.81	54.27	54.27	37.71	39.68	21.77	40.23	45.52	47.83	95.56	103.68	62.84	50.80	72.04	72.56	48.20	46.58	59.58	55.99	50.80	57.37	28.91	65.61	65.62	61.29	26.97	65.38	65.38	29.18	22.29	48.14	20.39	88.86	51.01	52.66	54.27	54.27	41.30	45.17	67.13	37.97	20.74	57.77	57.77	53.75	21.41	13.63	25.96	13.63	62.58	45.41	51.15	18.16	57.16	69.39	43.99	19.93	35.05	52.89	52.89	30.62	52.81	36.34	67.46	67.46	36.66	22.90	41.47	63.85	61.54	23.50	26.26	37.71	39.22	19.15	37.65	62.90	36.45	64.89	74.37	74.37	26.19	51.16	51.30	51.27	55.54	39.61	31.81	51.48	56.48	64.22	44.16	45.19	20.22	52.94	18.60	53.28	68.62	65.47	61.88	56.45	39.58	43.72	11.77	57.47	28.36	22.65	26.47	53.17	32.39	40.32	12.34	18.64	35.78	35.78	37.78	37.78	35.78	37.78	33.69	30.18	24.19	35.16	47.82	40.76	47.61	21.89	70.19	32.44	51.20	62.82	54.16	41.70	45.57	45.83	20.86	60.29	71.65	56.41	57.25	57.84	59.21	55.96	40.77	51.77	47.33	48.62	62.65	87.72	87.72	31.35	28.48	88.87	39.12	25.57	59.12	59.12	54.82	34.96	50.29	35.27	54.06	36.42	38.99	21.44	30.81	59.63	44.79	60.16	40.18	60.94	35.32	18.07	52.11	40.36	75.56	43.59	25.64	49.83	51.09	37.55	60.85	36.42	51.04	50.72	46.72	40.87	47.52	29.97	50.97	53.46	22.24	23.55	45.52	31.52	31.52	44.50	44.50	45.94	47.52	27.06	49.54	62.88	46.20	45.89	62.34	32.26	34.74	40.36	50.35	41.17	53.35	36.65	50.82	42.98	23.53	52.64	26.07	49.61	31.67	31.67	42.31	24.62	72.80	69.81	13.43	61.74	20.41	21.18	22.94	22.94	22.94
