3
20000	25000	35000

3
15000	15000	20000
1.0	.7	.3

76
1	0	0	-	0
2	87	-18	A	3215
3	71	-19	B	3110
4	81	-11	C	3635
5	80	-17	A	250
6	74	-16	B	1175
7	75	-9	C	150
8	76	-6	A	25
9	86	-11	B	215
10	85	-19	C	1990
11	83	-19	A	405
12	70	-10	B	70
13	48	21	C	855
14	23	33	A	1045
15	35	36	B	100
16	38	42	C	65
17	22	26	A	465
18	51	21	B	80
19	30	39	C	15
20	30	26	A	1955
21	29	23	B	260
22	27	20	C	4525
23	36	23	A	280
24	28	20	B	1015
25	45	28	C	435
26	-61	38	A	5020
27	-54	50	B	570
28	-56	36	C	2635
29	-57	26	A	20
30	-61	40	B	140
31	-41	39	C	470
32	-61	30	A	40
33	-45	46	B	695
34	-53	62	C	205
35	-34	37	A	35
36	-47	33	B	2450
37	-52	61	C	15
38	-33	34	A	375
39	-35	62	B	225
40	-71	45	C	15
41	-22	-10	A	2050
42	-29	-2	B	220
43	-29	3	C	3390
44	-30	3	A	120
45	-33	-11	B	50
46	-31	1	C	60
47	-31	-10	A	1340
48	-22	-9	B	35
49	-25	-4	C	255
50	-32	-12	A	2240
51	-30	-5	B	2295
52	-34	2	C	20
53	-31	-12	A	100
54	-31	-10	B	2065
55	-27	1	C	3355
56	-30	-8	A	975
57	-31	-6	B	80
58	-23	-1	C	3415
59	-21	-3	A	20
60	-33	1	B	215
61	59	-61	C	225
62	73	-52	A	310
63	72	-61	B	70
64	76	-63	C	380
65	59	-63	A	505
66	62	-63	B	4230
67	59	-54	C	785
68	70	-55	A	15
69	62	-59	B	65
70	60	-62	C	1985
71	56	19	A	115
72	47	15	B	435
73	49	12	C	30
74	58	9	A	15
75	51	13	B	15
76	57	19	C	1150
