3
20000	20000	15000

3
8000	 7000	6000
1.0	.7	.3

33
1 292 495	-	0
2 298 427	A	700
3 309 445	B	400
4 307 464	C	400
5 336 475	A	1200
6 320 439	B	40
7 321 437	C	80
8 322 437	A	2000
9 323 433	B	900
10 324 433	C	600
11 323 429	A	750
12 314 435	B	1500
13 311 442	C	150
14 304 427	A	250
15 293 421	B	1600
16 296 418	C	450
17 261 384	A	700
18 297 410	B	550
19 315 407	C	650
20 314 406	A	200
21 321 391	B	400
22 321 398	C	300
23 314 394	A	1300
24 313 378	B	700
25 304 382	C	750
26 295 402	A	1400
27 283 406	B	4000
28 279 399	C	600
29 271 401	A	1000
30 264 414	B	500
31 277 439	C	2500
32 290 434	A	1700
33 319 433	B	1100
