3
50000	45000	40000

3
38000	34000	30000
1.0	.7	.3

48
1	6823	4674	-	0
2	7692	2247	A	2500
3	9135	6748	B	2500
4	7721	3451	C	2500
5	8304	8580	A	2500
6	7501	5899	B	2500
7	4687	1373	C	2500
8	5429	1408	A	2500
9	7877	1716	B	2500
10	7260	2083	C	2500
11	7096	7869	A	2500
12	6539	3513	B	2500
13	6272	2992	C	2500
14	6471	4275	A	2500
15	7110	4369	B	2500
16	6462	2634	C	2500
17	8476	2874	A	2500
18	3961	1370	B	2500
19	5555	1519	C	2500
20	4422	1249	A	2500
21	5584	3081	B	2500
22	5776	4498	C	2500
23	8035	2880	A	2500
24	6963	3782	B	2500
25	6336	7348	C	2500
26	8139	8306	A	2500
27	4326	1426	B	2500
28	5164	1440	C	2500
29	8389	5804	A	2500
30	4639	1629	B	2500
31	6344	1436	C	2500
32	5840	5736	A	2500
33	5972	2555	B	2500
34	7947	4373	C	2500
35	6929	8958	A	2500
36	5366	1733	B	2500
37	4550	1219	C	2500
38	6901	1589	A	2500
39	6316	5497	B	2500
40	7010	2710	C	2500
41	9005	3996	A	2500
42	7576	7065	B	2500
43	4246	1701	C	2500
44	5906	1472	A	2500
45	6469	8971	B	2500
46	6152	2174	C	2500
47	5887	3796	A	2500
48	7203	5958	B	2500
