
set I:= 2	3	4 5 6	7 	8	9	10	11 12 13	14	15 16	17	18	19	20 21 22 
23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 ;

set Nodos:= 1 2	3	4 5 6	7 	8	9	10	11 12 13	14	15 16	17	18	19	20 21 22
23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 ;

set K:= 1 2 3 4;
set R:= A B C;
set T:= A B C;


param: xcoord	ycoord :=
1	0	0
2	3	5
3	2.5	9
4	48	16
5	48	17
6	69	16
7	70	16
8	64	13
9	3	-22
10	2.5	1
11	-13	11.5
12	-20	45
13	-9	52
14	-8.5	53
15	-8	52
16	2	2
17	-2	9
18	-10	20
19	-20	19
20	-15	-21
21	-5	-9
22	-4.5	-9
23	-52	-36
24	-53	-36
25	0	0.01
26	-30	-18
27	-51	-35
28	81	9
29	84	-99
30	82	-6
31	40	-12
32	50	-7
33	51	-8
34	63	-17
35	45	-1
36	54	8.5
37	29	4
38	21	3
39	22	2
40	39	-3
41	39.5	-3
42	40	-11
43	28	-2
44	24	-18
45	24	-19

;

param Q:=
1   20000
2   20000
3   15000
4   10000
;

param P:=
A   5000
B   10000
C   5000
;


param alfa:=
A   1
B    .70
C    .30
;

param q:  A   B   C:=
1	0	0	0
2	165	0	0
3	0	75	0
4	0	0	50
5	200	0	0
6	0	75	0
7	0	0	25
8	385	0	0
9	0	2175	0
10	0	0	825
11	600	0	0
12	0	325	0
13	0	0	115
14	90	0	0
15	0	2750	0
16	0	0	390
17	3135	0	0
18	0	45	0
19	0	0	480
20	580	0	0
21	0	580	0
22	0	0	415
23	205	0	0
24	0	3225	0
25	0	0	3470
26	2865	0	0
27	0	5	0
28	0	0	905
29	530	0	0
30	0	260	0
31	0	0	585
32	260	0	0
33	0	6500	0
34	0	0	285
35	140	0	0
36	0	420	0
37	0	0	5
38	270	0	0
39	0	95	0
40	0	0	440
41	205	0	0
42	0	1190	0
43	0	0	330
44	220	0	0
45	0	210	0


;

param a:  A   B   C:=
1	0	0	0
2	1	0	0
3	0	1	0
4	0	0	1
5	1	0	0
6	0	1	0
7	0	0	1
8	1	0	0
9	0	1	0
10	0	0	1
11	1	0	0
12	0	1	0
13	0	0	1
14	1	0	0
15	0	1	0
16	0	0	1
17	1	0	0
18	0	1	0
19	0	0	1
20	1	0	0
21	0	1	0
22	0	0	1
23	1	0	0
24	0	1	0
25	0	0	1
26	1	0	0
27	0	1	0
28	0	0	1
29	1	0	0
30	0	1	0
31	0	0	1
32	1	0	0
33	0	1	0
34	0	0	1
35	1	0	0
36	0	1	0
37	0	0	1
38	1	0	0
39	0	1	0
40	0	0	1
41	1	0	0
42	0	1	0
43	0	0	1
44	1	0	0
45	0	1	0

;

param qu :=
1	0
2	165
3	75
4	50
5	200
6	75
7	25
8	385
9	2175
10	825
11	600
12	325
13	115
14	90
15	2750
16	390
17	3135
18	45
19	480
20	580
21	580
22	415
23	205
24	3225
25	3470
26	2865
27	5
28	905
29	530
30	260
31	585
32	260
33	6500
34	285
35	140
36	420
37	5
38	270
39	95
40	440
41	205
42	1190
43	330
44	220
45	210



;

set IT:=
(	2	,	A	)
(	3	,	B	)
(	4	,	C	)
(	5	,	A	)
(	6	,	B	)
(	7	,	C	)
(	8	,	A	)
(	9	,	B	)
(	10	,	C	)
(	11	,	A	)
(	12	,	B	)
(	13	,	C	)
(	14	,	A	)
(	15	,	B	)
(	16	,	C	)
(	17	,	A	)
(	18	,	B	)
(	19	,	C	)
(	20	,	A	)
(	21	,	B	)
(	22	,	C	)
(	23	,	A	)
(	24	,	B	)
(	25	,	C	)
(	26	,	A	)
(	27	,	B	)
(	28	,	C	)
(	29	,	A	)
(	30	,	B	)
(	31	,	C	)
(	32	,	A	)
(	33	,	B	)
(	34	,	C	)
(	35	,	A	)
(	36	,	B	)
(	37	,	C	)
(	38	,	A	)
(	39	,	B	)
(	40	,	C	)
(	41	,	A	)
(	42	,	B	)
(	43	,	C	)
(	44	,	A	)
(	45	,	B	)

;
