28704	[0,5,14,20,23,11,17,32,29,2,35,26,0,15,21,30,18,33,3,8,9,24,27,12,6,0,16,10,25,1,19,31,34,28,4,13,22,7,0]
28625	[0,14,23,35,32,17,29,20,2,26,5,11,0,4,19,13,10,7,25,16,1,22,31,34,28,0,15,8,6,9,27,30,3,33,18,24,12,21,0]
28701	[0,32,17,29,11,5,14,23,35,2,26,20,0,28,34,7,10,25,22,19,4,31,1,13,16,0,3,6,27,18,30,24,15,33,21,8,12,9,0]
28770	[0,20,35,23,14,2,5,11,26,17,32,29,0,19,4,31,25,10,1,13,22,16,7,34,28,0,9,15,8,3,6,33,30,18,24,21,27,12,0]
28650	[0,17,29,14,5,32,11,35,2,20,23,26,0,8,30,27,18,9,6,12,3,33,21,24,15,0,10,7,28,19,31,13,22,4,34,25,1,16,0]
28729	[0,20,11,32,14,29,26,23,2,35,17,5,0,15,8,9,6,3,18,21,24,12,30,33,27,0,1,22,13,31,19,4,34,7,16,25,28,10,0]
28771	[0,5,2,20,17,29,35,23,14,32,11,26,0,10,16,22,13,19,4,31,34,28,25,1,7,0,24,15,8,3,6,9,27,18,12,21,30,33,0]
28888	[0,20,26,11,5,35,2,23,14,17,29,32,0,9,8,6,12,3,15,21,18,30,33,27,24,0,7,10,28,34,13,25,31,4,19,22,1,16,0]
28697	[0,5,20,32,17,29,35,23,2,11,14,26,0,25,31,28,10,7,34,19,4,1,16,13,22,0,15,8,24,30,18,9,6,3,12,27,21,33,0]
28646	[0,20,29,5,26,35,2,23,14,17,32,11,0,1,16,13,28,34,10,7,22,19,4,25,31,0,15,8,6,33,18,27,24,30,12,9,3,21,0]
28659	[0,11,8,14,2,35,23,29,17,5,20,26,0,15,9,12,6,3,21,27,30,18,33,32,24,0,10,7,19,34,28,4,16,1,22,13,31,25,0]
28823	[0,26,23,29,17,32,14,2,35,20,5,11,0,1,16,22,13,34,7,28,4,19,31,25,10,0,33,3,6,8,15,9,30,18,21,12,27,24,0]
28691	[0,31,4,34,7,28,10,25,19,13,22,1,16,0,5,17,20,29,32,11,23,2,14,35,26,0,15,8,27,24,21,33,30,18,3,6,9,12,0]
28821	[0,11,32,5,14,17,29,2,35,23,20,26,0,21,18,30,33,12,6,3,8,27,24,9,15,0,10,7,25,16,31,28,34,4,19,22,13,1,0]
28676	[0,11,23,20,32,17,29,35,2,14,26,5,0,9,18,3,15,8,6,24,27,30,33,12,21,0,1,10,16,25,31,4,19,13,22,7,34,28,0]
28761	[0,5,14,11,35,2,23,32,29,17,26,20,0,9,12,3,33,30,6,8,15,27,18,21,24,0,34,4,19,25,31,22,13,28,10,7,16,1,0]
28660	[0,35,20,2,14,23,11,17,32,5,26,29,0,25,22,19,4,31,28,34,7,10,16,1,13,0,21,30,24,8,15,6,12,3,18,33,27,9,0]
28907	[0,34,4,19,31,28,22,13,25,10,7,16,1,0,11,29,17,32,23,35,14,2,20,5,26,0,27,8,9,24,21,33,30,18,12,3,6,15,0]
28639	[0,23,35,2,14,29,32,5,11,17,20,26,0,24,30,27,9,12,6,8,15,3,18,33,21,0,16,1,31,22,19,4,10,7,28,25,13,34,0]
28897	[0,20,2,35,11,14,23,29,17,32,5,26,0,1,16,34,31,19,4,13,22,25,28,7,10,0,30,33,18,21,24,6,9,27,12,3,8,15,0]


28659	[0,5,35,23,29,14,20,26,2,32,17,11,0,27,9,8,6,3,15,12,33,30,18,21,24,0,34,7,10,19,31,28,4,25,22,13,1,16,0]
28848	[0,32,23,35,20,2,14,5,29,17,11,26,0,10,7,1,25,31,4,19,28,34,13,22,16,0,15,8,21,18,30,33,24,27,9,3,6,12,0]
